1000 4000
825 995 544
133 882 526
225 753 315
245 72 95
748 262 173
502 996 201
467 66 692
965 975 611
492 944 830
54 284 511
661 300 135
829 922 796
965 133 461
606 299 431
372 759 801
726 842 331
854 248 845
469 342 34
489 565 237
571 441 374
680 405 888
93 736 768
613 948 224
31 660 549
926 159 860
741 643 921
184 20 792
990 123 58
366 380 334
223 710 916
835 321 241
152 125 524
967 754 1000
390 829 966
172 128 303
781 761 686
746 301 710
323 673 946
559 630 595
14 838 310
939 696 246
735 374 401
644 908 364
574 639 407
378 969 272
844 845 217
499 96 491
563 451 50
619 729 597
376 650 565
696 745 864
533 506 410
790 301 915
119 712 780
372 766 942
212 320 814
929 48 24
325 58 207
535 91 96
630 673 911
485 249 344
859 302 186
595 875 840
777 332 12
319 363 909
528 395 614
399 437 89
251 84 525
607 962 121
363 197 835
553 962 347
844 199 872
711 805 480
658 881 860
701 672 871
389 377 586
7 830 458
998 599 7
631 251 658
966 251 538
87 443 705
665 272 294
532 292 391
458 860 85
734 326 747
828 248 256
702 571 977
984 633 296
523 153 834
945 444 184
121 978 75
358 412 119
219 691 886
652 54 863
41 875 356
388 761 88
261 192 939
462 398 535
135 92 711
339 727 235
466 821 739
934 634 72
68 734 144
453 853 450
776 76 12
200 558 929
476 580 101
403 403 569
336 772 252
777 373 459
869 268 225
374 550 907
856 613 192
211 635 18
506 873 340
606 863 175
772 184 539
39 348 231
149 305 361
101 962 550
656 787 114
671 348 402
767 899 44
19 208 864
646 577 20
42 646 982
683 537 425
426 684 178
542 630 539
156 79 5
569 923 916
128 713 419
934 184 985
895 846 430
554 54 717
720 269 300
354 986 69
116 237 659
388 394 870
562 621 741
157 445 97
251 590 808
305 935 461
16 30 762
489 552 856
218 246 722
646 171 252
402 799 568
831 429 833
872 658 344
917 465 872
668 989 95
495 526 669
754 119 67
129 821 289
666 358 238
152 82 916
704 655 80
800 883 597
815 537 432
547 308 427
51 315 594
90 681 894
659 389 904
589 689 899
237 476 946
370 742 104
699 900 894
611 230 239
23 539 897
887 38 106
926 173 820
832 330 494
288 182 164
272 16 67
519 908 714
797 597 13
964 503 787
658 988 618
843 718 21
850 522 728
543 185 492
815 155 988
909 813 158
985 196 553
182 260 726
546 834 516
860 362 393
737 635 502
974 486 552
541 631 428
100 665 357
767 362 883
433 887 390
450 419 497
933 930 467
831 341 695
349 337 402
78 330 883
634 84 383
869 457 369
393 437 336
450 702 657
217 742 160
693 861 806
516 314 961
191 221 104
385 582 795
603 225 711
958 773 384
751 275 539
64 606 75
213 568 895
272 166 841
53 628 256
202 158 24
22 22 352
722 901 346
270 389 867
123 807 660
274 201 329
512 498 686
130 143 145
97 797 127
276 527 889
922 147 406
724 366 364
616 996 781
606 142 249
585 476 197
311 843 438
521 406 479
578 577 77
63 588 716
120 142 202
800 421 360
52 296 980
911 804 261
143 773 432
185 393 576
442 889 256
6 723 15
596 602 16
653 685 751
451 544 571
525 131 868
126 681 486
218 195 193
130 23 943
168 350 921
421 564 335
813 935 718
101 917 791
971 532 526
584 869 293
342 160 258
660 781 754
864 310 40
481 524 562
974 444 637
445 766 248
944 382 644
980 833 804
195 11 466
527 906 505
894 651 735
941 120 916
937 273 282
573 515 123
166 987 837
771 789 130
962 604 982
267 112 250
86 276 852
769 780 877
237 344 514
257 442 343
759 24 594
43 393 701
800 500 340
565 63 666
796 552 88
283 80 644
543 667 918
784 539 634
985 174 267
713 273 324
470 125 511
680 732 7
257 701 764
906 607 74
210 269 646
768 600 864
28 753 653
710 296 424
802 370 324
570 93 454
418 426 881
748 783 467
876 340 142
496 961 991
617 683 322
284 699 739
468 773 909
765 633 505
872 52 605
17 174 211
717 427 12
901 873 45
439 741 259
405 122 482
779 926 578
962 841 412
45 163 399
858 195 731
346 418 908
74 184 336
437 452 962
223 888 496
890 720 757
925 47 232
457 520 284
324 586 753
893 863 338
76 897 905
939 718 906
368 159 591
940 730 192
208 931 557
317 287 394
281 422 272
854 848 288
486 20 535
507 870 816
165 918 151
627 791 429
963 405 62
297 294 83
877 969 725
670 591 86
107 139 476
822 333 608
348 663 928
804 8 731
313 102 145
186 777 871
748 86 177
650 111 730
409 832 924
374 679 611
565 267 982
14 628 209
806 47 778
599 630 530
520 882 890
701 774 749
923 96 65
44 84 465
317 541 534
506 823 88
123 303 989
430 665 376
891 492 569
45 332 399
680 31 866
810 300 52
926 538 854
512 103 803
870 717 579
483 16 202
211 503 706
377 424 502
286 487 377
752 236 60
181 142 60
511 710 589
943 47 409
973 824 10
685 402 155
357 818 630
637 21 854
270 460 371
327 229 915
0 549 741
384 863 429
313 111 547
407 376 525
10 380 320
122 729 961
106 389 992
289 675 775
141 642 42
311 732 343
94 212 406
580 720 965
300 485 958
543 630 248
503 85 589
584 381 562
585 369 400
956 660 139
73 677 109
419 122 132
311 56 636
168 314 173
612 13 728
497 174 342
874 324 424
530 793 705
786 944 722
34 415 761
749 900 362
400 136 134
182 271 533
129 868 37
518 254 564
822 39 692
683 599 86
244 124 22
524 30 23
190 549 73
472 678 465
232 209 737
401 640 591
623 849 241
19 264 869
752 40 184
920 637 469
426 177 928
524 237 308
672 238 878
233 713 29
416 359 607
17 479 102
398 876 609
588 607 426
721 651 132
282 390 923
773 778 832
620 259 648
271 749 69
879 376 577
511 946 803
850 325 644
241 615 456
601 90 464
890 294 890
827 552 153
152 394 21
867 718 580
691 392 625
799 157 127
657 998 429
402 814 740
185 70 909
519 217 378
618 343 371
134 706 128
619 302 253
231 17 895
947 352 770
472 75 158
456 880 967
681 460 240
871 4 711
741 287 657
873 431 315
978 455 443
638 105 661
443 99 777
967 392 709
738 278 838
953 353 939
318 691 160
669 633 379
251 35 262
643 56 144
327 398 349
459 30 310
967 650 483
993 839 268
338 430 48
689 449 725
457 928 432
526 397 577
124 552 924
547 776 848
470 201 930
381 813 947
847 142 759
498 190 419
155 611 883
299 518 987
446 166 791
798 438 211
921 200 329
668 619 432
817 558 546
56 220 651
571 88 30
332 57 401
981 804 252
834 799 911
265 112 806
504 24 801
984 855 106
548 821 186
515 743 7
163 986 606
883 929 297
2 27 676
312 618 539
277 147 429
10 997 137
852 281 997
762 24 43
949 641 69
306 389 53
159 997 313
140 102 530
977 982 193
910 278 104
194 472 144
503 653 521
913 945 373
837 477 11
382 507 457
422 914 285
576 149 559
994 188 93
371 70 601
915 527 432
231 7 518
620 627 674
568 452 656
396 613 607
385 220 432
5 214 169
170 829 527
164 751 994
140 392 480
720 959 175
610 818 683
832 244 892
8 469 382
501 67 57
713 210 473
621 956 744
838 322 808
363 110 498
886 156 265
435 800 826
275 951 329
844 722 20
919 393 337
573 474 230
3 955 483
389 414 774
483 463 763
780 545 962
966 747 339
199 70 600
940 351 353
615 709 267
249 321 189
49 300 169
836 344 807
674 600 926
713 659 304
181 466 125
509 528 237
974 604 866
647 213 321
153 305 104
445 776 519
172 576 831
121 741 572
623 225 878
898 32 154
815 52 805
480 31 349
811 431 177
491 388 590
526 503 995
344 340 461
714 895 468
364 879 202
328 664 901
40 589 276
347 603 708
459 5 856
26 349 320
462 18 33
791 922 825
394 696 566
960 656 557
988 481 458
399 58 829
94 275 722
295 843 914
132 447 249
957 143 884
614 176 623
745 748 342
456 569 647
525 673 303
377 176 699
548 228 786
719 253 394
363 318 734
145 135 629
626 376 930
772 751 329
683 60 567
594 68 371
405 734 137
337 53 606
635 394 324
601 14 7
892 539 288
88 428 909
567 812 159
841 741 819
825 455 149
383 735 940
424 89 752
206 380 920
820 388 128
995 132 538
694 465 891
510 465 996
809 74 687
263 140 851
25 609 271
373 720 349
429 670 285
193 445 621
46 777 116
712 848 928
68 833 451
782 952 436
110 523 858
570 687 893
442 859 845
757 181 562
5 176 715
419 770 551
641 694 657
804 474 194
751 616 166
112 442 775
205 482 4
8 379 158
579 469 464
27 124 738
927 48 548
62 523 491
638 577 651
307 809 464
785 838 301
883 39 814
26 122 593
761 806 793
484 105 446
597 392 752
134 638 5
946 688 107
639 781 692
126 613 529
566 966 351
37 156 456
149 408 588
921 257 648
479 444 842
445 252 965
121 414 260
721 606 394
991 51 181
682 25 666
647 179 837
98 950 729
538 617 68
709 992 324
799 441 109
16 24 425
983 927 837
885 862 120
830 911 537
382 212 451
633 113 560
901 214 528
854 524 119
284 407 194
578 914 786
178 260 713
89 999 910
240 507 355
37 591 135
207 777 396
902 987 237
800 5 419
282 173 722
797 175 282
67 516 357
359 962 258
682 308 746
490 895 177
750 700 254
273 787 519
274 108 539
278 145 678
665 975 902
301 272 767
835 651 936
411 496 945
12 274 697
895 621 850
622 943 200
971 526 957
199 625 177
535 588 793
495 558 323
29 753 530
696 871 425
54 44 143
954 118 33
242 772 420
371 357 847
557 518 317
961 200 337
669 695 212
893 568 938
208 465 817
693 70 1
288 414 934
536 330 320
241 452 831
842 753 559
965 278 84
716 72 794
52 606 458
293 473 754
477 983 52
59 548 915
99 6 536
27 872 905
305 846 822
413 485 696
839 777 796
603 715 507
788 666 683
866 210 469
294 296 574
498 258 498
960 174 640
246 474 560
359 786 612
912 193 136
839 315 947
554 485 812
444 486 23
964 74 164
144 805 787
201 239 966
221 244 689
851 600 440
465 245 540
909 957 863
587 782 683
107 757 453
14 803 629
894 687 617
424 826 885
829 752 948
132 64 647
830 103 179
946 995 997
48 298 552
881 875 682
694 478 605
794 133 162
334 175 90
194 514 973
106 672 356
604 89 963
659 363 590
515 686 777
346 946 493
348 978 588
517 452 553
294 178 681
721 230 955
133 459 958
210 975 215
390 28 618
176 136 389
468 62 924
594 135 696
197 558 561
515 831 530
379 673 691
40 274 977
60 603 523
899 903 230
31 488 696
466 917 98
409 735 211
859 631 767
287 573 772
761 277 166
147 358 647
114 207 515
114 805 468
819 208 856
245 61 324
391 531 112
125 386 941
252 526 705
717 9 706
60 441 371
384 179 603
454 915 324
369 936 408
11 113 516
430 208 535
583 506 750
471 107 941
644 484 442
694 503 764
348 278 112
335 221 697
7 592 487
764 942 181
485 993 504
15 69 351
387 666 486
976 842 621
792 883 298
818 454 226
985 984 996
344 261 970
718 844 575
239 294 749
222 298 669
41 753 393
957 504 881
944 953 693
729 329 95
621 96 314
343 921 385
865 726 565
55 959 980
307 287 342
316 765 621
247 471 816
545 804 366
250 34 341
189 718 635
608 741 243
733 845 646
184 87 613
885 657 690
801 512 601
4 159 410
246 661 94
337 719 639
708 29 579
229 969 901
86 66 343
69 10 367
568 750 851
823 892 710
38 540 282
835 903 867
667 102 31
463 668 552
762 40 906
83 162 665
429 807 790
158 816 997
333 560 770
416 238 644
509 642 529
293 509 419
793 572 593
612 320 494
421 798 216
188 639 440
997 138 385
194 764 570
266 209 962
178 943 526
340 930 258
145 190 444
183 841 381
590 315 889
601 844 202
192 292 194
50 373 801
592 476 543
710 695 969
953 490 762
558 222 432
134 769 450
139 681 260
214 784 905
361 316 280
141 881 936
770 973 363
346 830 408
446 141 699
516 899 829
739 829 277
900 917 354
188 90 211
517 163 120
615 40 387
500 590 534
740 377 242
251 247 882
252 255 739
344 840 605
415 168 274
961 764 716
592 201 278
81 830 68
245 579 630
925 737 926
47 262 737
198 856 344
920 278 730
327 203 939
96 157 424
758 277 491
579 291 691
729 761 648
104 760 213
11 100 364
413 733 218
837 875 84
731 943 99
537 838 839
442 642 123
189 492 545
630 242 466
999 938 764
30 19 930
876 841 826
833 297 246
256 545 37
700 997 584
630 537 803
810 798 448
922 827 481
726 828 314
407 266 640
445 382 472
427 21 453
837 562 693
894 232 677
416 935 604
34 618 422
173 94 894
224 421 215
131 915 440
209 656 873
528 856 223
946 459 489
411 419 490
234 223 770
372 829 220
628 3 294
774 806 6
481 845 282
374 101 6
206 456 612
565 165 783
863 802 978
623 199 649
459 146 469
595 661 511
461 746 113
316 166 898
282 697 920
338 119 202
928 694 291
47 54 182
177 710 414
632 343 281
482 355 811
988 722 824
916 95 772
815 68 151
351 17 227
797 993 266
285 931 364
6 227 758
732 218 535
454 495 894
665 829 264
512 373 440
744 593 650
824 405 865
102 523 142
782 100 320
72 608 350
624 189 230
843 515 353
553 316 968
453 947 884
330 879 81
735 667 299
553 529 557
193 371 834
647 778 841
946 776 630
836 63 73
92 95 218
90 953 543
784 698 233
935 473 772
40 707 530
917 154 15
187 603 176
150 246 687
262 476 393
544 723 501
982 870 715
502 879 817
46 632 976
947 654 758
306 989 383
418 822 269
611 285 795
650 637 744
794 585 845
941 436 470
232 516 961
546 231 926
722 167 627
198 391 954
894 540 376
749 965 341
242 507 356
912 462 486
834 151 934
925 195 944
618 873 440
604 411 123
697 226 5
271 51 893
884 944 572
3 219 414
98 880 573
763 148 574
726 792 136
105 399 508
105 962 969
87 299 234
734 503 869
772 846 34
564 894 699
721 866 993
674 809 369
443 714 983
461 39 806
118 391 670
937 508 832
10 65 26
636 525 974
765 676 941
719 481 138
2 327 647
368 326 881
739 642 752
921 555 582
79 130 690
872 940 394
173 494 504
200 325 105
175 671 680
859 678 362
842 885 259
534 466 906
789 842 669
591 231 10
224 548 156
777 818 364
779 116 835
544 515 597
849 52 710
563 638 233
33 735 927
231 724 903
587 935 167
896 347 413
384 111 28
499 826 473
776 576 22
155 531 331
743 178 743
770 916 873
838 823 53
286 10 628
474 945 199
273 247 294
240 563 565
130 503 658
670 353 447
35 525 700
489 866 165
551 923 460
447 777 441
493 922 633
24 164 807
299 26 624
778 654 376
467 972 991
410 849 751
250 743 236
291 721 539
399 528 630
56 426 371
934 974 529
518 115 313
422 233 867
812 929 544
321 525 872
602 381 695
267 585 542
937 573 474
899 498 315
867 115 293
119 219 432
343 569 956
234 799 536
878 28 410
699 321 559
148 118 172
225 653 558
173 900 10
389 658 15
910 934 99
198 916 842
414 209 577
938 366 625
880 538 578
752 793 690
458 506 990
940 250 246
942 349 690
818 288 567
408 535 754
626 802 950
0 537 133
746 869 577
850 81 694
650 50 999
84 263 974
907 673 896
910 704 61
469 331 780
380 205 906
257 481 567
59 829 213
117 782 992
333 705 160
210 323 923
818 684 391
979 497 768
400 950 540
711 492 190
622 754 638
203 221 696
770 356 757
594 477 129
975 61 859
443 132 346
303 666 905
156 698 391
675 922 762
479 929 848
269 512 641
642 58 97
258 198 908
780 928 519
21 789 194
171 638 328
816 958 42
66 254 405
161 658 55
829 792 43
473 603 423
221 514 597
75 955 154
576 575 476
97 199 462
864 213 457
136 496 820
321 543 829
394 511 568
584 974 176
273 412 408
397 497 787
765 627 898
887 354 64
65 431 475
339 239 241
468 615 196
508 331 525
51 108 945
236 80 5
55 160 756
582 212 169
425 616 846
833 383 980
959 348 276
814 774 515
302 746 609
568 252 785
344 710 29
550 449 256
754 219 648
22 741 820
367 225 692
167 452 931
316 463 871
617 715 3
599 922 336
451 263 989
414 409 603
242 634 998
474 883 249
236 963 677
863 476 914
918 257 994
578 806 498
578 92 457
932 797 667
357 518 132
817 605 400
428 903 149
105 790 725
839 254 13
397 464 180
456 916 491
163 703 567
958 490 211
574 863 822
866 780 901
975 772 720
889 213 913
264 283 524
449 619 702
582 549 791
233 551 533
640 982 65
225 635 837
437 693 991
459 165 808
761 344 953
862 766 421
847 150 935
212 32 621
912 865 603
909 913 273
808 658 584
852 605 395
494 116 900
22 801 408
115 321 229
665 968 718
465 900 842
428 85 961
139 583 165
397 548 83
125 808 957
169 541 605
684 294 627
334 813 460
80 444 379
244 477 323
905 674 408
608 951 559
929 124 87
507 927 1
398 802 19
347 886 507
186 466 500
639 133 212
190 79 551
654 243 972
138 81 980
528 388 830
250 119 752
175 611 820
182 784 288
187 49 922
762 455 944
656 557 872
785 49 897
351 199 604
988 133 424
825 285 299
663 383 903
171 613 648
248 838 877
355 106 841
340 459 510
394 850 902
515 530 452
716 145 673
70 229 289
77 958 804
406 860 750
387 817 921
597 813 938
998 197 363
289 867 670
113 598 696
292 165 761
929 46 648
591 382 525
457 786 143
44 454 855
849 882 510
62 779 804
85 713 587
699 609 354
124 238 656
161 348 654
494 351 747
37 898 277
349 293 525
115 478 375
635 663 84
687 397 25
776 620 71
955 935 124
523 212 351
890 260 174
781 936 213
126 487 424
53 13 791
598 940 297
723 732 590
297 481 750
7 1 477
377 280 508
214 922 548
513 132 559
493 508 852
60 750 684
868 418 203
539 13 463
799 319 381
13 171 373
692 653 546
396 322 411
218 366 205
932 553 689
113 124 847
22 859 368
978 901 88
6 74 826
335 256 342
264 415 760
618 306 718
235 680 529
896 485 143
255 546 610
788 104 299
203 568 869
476 378 232
846 361 450
356 106 285
11 433 482
986 612 376
992 349 682
201 456 794
827 985 142
243 440 670
245 420 835
814 170 487
302 815 807
511 346 623
196 803 417
932 371 195
289 160 919
589 895 25
660 913 442
785 720 669
455 322 844
915 733 610
296 814 901
393 752 210
264 994 53
139 645 453
160 526 559
766 226 592
918 291 246
786 861 605
109 112 781
851 907 307
539 625 445
708 376 374
406 584 243
243 726 767
724 360 125
716 610 56
218 853 737
223 999 983
168 631 140
431 475 939
150 876 353
118 369 521
156 515 867
216 644 8
395 384 705
840 945 311
311 762 487
684 957 766
605 18 184
775 534 959
722 414 978
944 493 639
701 107 315
275 784 445
534 268 940
607 846 497
116 875 765
136 361 864
579 543 76
504 88 540
268 286 821
855 698 292
625 656 630
771 731 894
577 777 631
979 199 829
874 548 294
415 165 570
328 21 43
239 289 169
4 122 231
82 28 926
905 644 789
304 916 343
704 181 747
527 517 49
546 152 706
104 521 922
681 928 596
314 654 765
920 989 900
425 385 795
334 709 387
740 840 830
706 511 38
546 821 502
657 372 267
714 684 821
695 860 757
510 10 957
664 877 180
919 353 22
632 161 686
703 67 782
444 825 92
415 29 739
145 486 208
418 220 663
764 722 839
702 628 934
276 543 272
226 139 669
517 164 443
501 3 884
211 344 430
464 281 516
180 179 330
237 883 983
177 486 206
350 658 66
919 71 373
487 65 217
39 601 786
25 346 366
353 552 229
961 51 295
508 711 914
144 440 168
718 957 10
148 528 635
367 59 199
167 174 261
89 166 417
587 54 625
571 685 1000
952 921 145
475 295 417
240 987 801
365 903 573
278 221 447
207 297 434
924 557 574
62 612 5
27 514 79
285 101 418
986 274 709
487 692 184
702 533 588
521 399 489
991 969 77
501 644 658
737 321 223
144 32 673
834 609 639
642 729 483
646 241 417
958 807 63
632 938 299
63 970 516
500 688 219
432 363 622
159 295 293
253 456 986
759 371 312
609 173 299
609 795 56
28 276 254
690 563 898
931 775 525
731 991 746
93 997 992
723 991 346
686 575 303
20 227 427
812 114 681
927 100 384
639 275 239
91 614 979
368 417 812
226 963 180
298 308 533
83 493 640
621 767 491
595 625 102
386 252 163
81 764 912
423 161 633
538 615 222
154 573 466
283 57 444
304 349 56
323 587 996
530 593 147
413 331 597
679 112 486
438 381 924
78 148 901
848 659 280
16 240 5
596 818 647
716 507 808
840 766 606
39 219 878
112 292 710
575 432 738
902 928 658
542 573 329
678 784 858
998 683 759
600 771 988
562 481 649
34 610 399
18 744 568
662 833 17
942 49 386
115 203 92
703 897 724
498 599 635
390 457 768
871 670 411
90 535 194
164 388 405
326 767 660
545 499 287
84 776 513
51 992 128
927 131 601
124 167 972
221 795 610
899 303 44
371 915 670
9 436 690
771 895 531
291 205 740
620 857 141
707 117 992
328 894 149
664 515 265
784 896 60
786 499 243
774 568 63
439 602 947
408 652 769
409 373 43
843 781 520
668 230 161
504 443 466
488 100 192
513 600 827
875 22 187
435 892 195
981 556 539
791 625 885
950 441 760
426 621 625
260 548 436
541 362 94
727 446 202
691 248 802
900 535 688
77 895 531
805 426 208
138 392 586
49 392 780
175 13 831
395 868 736
677 203 354
606 291 54
972 551 16
676 872 787
220 841 350
239 870 701
991 966 169
758 494 841
480 689 820
908 478 262
952 806 849
752 953 430
625 686 793
756 176 589
645 841 59
672 344 731
673 716 810
263 844 98
158 233 118
472 624 423
943 703 480
773 308 586
997 214 830
233 102 116
766 605 63
363 774 795
57 574 391
379 494 179
403 550 853
740 136 257
48 61 460
917 173 725
35 703 232
879 125 319
573 793 28
861 154 690
944 690 884
977 501 808
157 699 661
841 507 547
967 800 269
914 209 160
877 1 247
455 76 774
738 514 909
888 570 995
153 12 676
120 676 128
120 89 986
564 156 475
433 694 953
809 508 89
179 151 239
982 661 570
491 530 713
882 190 800
792 170 874
284 849 938
256 879 878
540 706 127
677 721 121
490 397 911
825 627 268
254 823 913
610 833 761
679 793 250
803 982 830
437 516 424
931 906 588
935 788 213
756 269 859
656 998 388
407 555 997
708 111 798
956 559 947
471 974 718
261 758 442
425 837 309
501 844 868
653 522 866
923 603 245
859 695 756
930 605 795
978 382 51
769 278 292
309 85 143
296 523 266
922 918 390
826 714 732
969 616 272
782 957 939
272 532 547
753 570 674
705 680 855
42 630 806
153 649 957
863 246 601
553 538 545
512 821 991
584 642 589
414 497 71
549 811 709
843 47 922
148 968 25
220 854 287
61 726 425
999 860 246
335 712 118
598 360 305
947 784 120
88 225 914
681 878 454
549 503 23
56 917 941
664 212 820
149 558 516
556 623 652
639 309 776
705 150 637
427 651 158
190 949 558
319 393 615
671 932 66
395 930 319
955 106 197
520 456 271
911 602 567
26 529 421
802 323 395
268 3 894
734 27 984
807 64 980
661 853 119
478 3 117
667 847 597
99 202 970
656 220 950
674 791 771
508 527 677
417 243 195
440 332 751
991 648 850
352 99 900
744 404 890
226 219 540
466 608 499
804 809 389
871 90 808
91 679 165
441 435 837
828 854 128
833 676 468
484 503 865
989 727 504
836 313 777
214 381 161
434 370 592
201 467 486
95 97 860
588 469 672
282 910 485
122 532 773
581 944 693
174 510 912
162 478 161
164 785 153
36 507 366
845 390 774
957 691 859
575 887 729
411 223 721
214 426 31
588 360 157
